id,reportId,language,languageStyle,text,originalSyntheticText,sourceType,category,incidentCategory,severity,route,responsibleUnit,technicalIndicators,personalInformationLabels,incidentClusterId,expectedRedactedText,annotatorNotes,split
SYN-495,SYN-495,Nigerian Pidgin,Nigerian Pidgin,Plenty traffic from 192.0.2.45 make library no dey open,Plenty traffic from 192.0.2.45 make library no dey open,Screenshot,Denial of service,Denial of service,Critical,Network Operations and Security Team,Network Operations and Security Team,192.0.2.45,None,CL-10-08,Plenty traffic from 192.0.2.45 make library no dey open,Deterministic synthetic example; human validation required.,test
SYN-419,SYN-419,English,English,A fake invoice changed the payment account for bursary Reported by user18@example.test on 08030000018.,A fake invoice changed the payment account for bursary Reported by user18@example.test on 08030000018.,PDF,Payment fraud,Payment fraud,High,Finance Fraud Response Team,Finance Fraud Response Team,,Email; Nigerian telephone number,CL-09-03,A fake invoice changed the payment account for bursary Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-655,SYN-655,Nigerian Pidgin,Nigerian Pidgin,Something strange happen for library but I no get detail,Something strange happen for library but I no get detail,PDF,Ambiguous report,Ambiguous report,Medium,Triage Review Team,Triage Review Team,,None,CL-14-00,Something strange happen for library but I no get detail,Deterministic synthetic example; human validation required.,train
SYN-576,SYN-576,English,English,The test page reveals software version details at https://verify-25.example.test/login,The test page reveals software version details at https://verify-25.example.test/login,PDF,Vulnerability report,Vulnerability report,Medium,Vulnerability Management Team,Vulnerability Management Team,https://verify-25.example.test/login,None,CL-12-05,The test page reveals software version details at https://verify-25.example.test/login,Deterministic synthetic example; human validation required.,train
SYN-226,SYN-226,English,English,My official phone was stolen and it still has access to email,My official phone was stolen and it still has access to email,PDF,Lost or stolen device,Lost or stolen device,Medium,Management,Management,,None,CL-05-05,My official phone was stolen and it still has access to email,Deterministic synthetic example; human validation required.,train
SYN-686,SYN-686,English,English,The screen changed and I am not sure whether it is a security issue,The screen changed and I am not sure whether it is a security issue,Web form,Ambiguous report,Ambiguous report,Medium,Triage Review Team,Triage Review Team,,None,CL-14-07,The screen changed and I am not sure whether it is a security issue,Deterministic synthetic example; human validation required.,train
SYN-039,SYN-039,English,English,The sender claims to be ICT and says my account will close unless I sign in,The sender claims to be ICT and says my account will close unless I sign in,Image,Phishing,Phishing,High,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-01-07,The sender claims to be ICT and says my account will close unless I sign in,Deterministic synthetic example; human validation required.,train
SYN-293,SYN-293,English,English,The email portal is slow but there is no unusual login or password request Reported by user42@example.test on 08030000042.,The email portal is slow but there is no unusual login or password request Reported by user42@example.test on 08030000042.,Web form,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,Email; Nigerian telephone number,CL-06-08,The email portal is slow but there is no unusual login or password request Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,test
SYN-341,SYN-341,Nigerian Pidgin,Nigerian Pidgin,Student record for payroll show for public folder,Student record for payroll show for public folder,TXT,Data exposure,Data exposure,High,Privacy and Data Protection Team,Privacy and Data Protection Team,,None,CL-07-08,Student record for payroll show for public folder,Deterministic synthetic example; human validation required.,test
SYN-069,SYN-069,English,English,I received an OTP I did not request and my bursary shows a new login Reported by user18@example.test on 08030000018.,I received an OTP I did not request and my bursary shows a new login Reported by user18@example.test on 08030000018.,PDF,Account takeover,Account takeover,High,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-02-03,I received an OTP I did not request and my bursary shows a new login Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-189,SYN-189,English,English,The laptop reports a trojan and is sending traffic to 192.0.2.39,The laptop reports a trojan and is sending traffic to 192.0.2.39,Image,Malware,Malware,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.39,None,CL-04-07,The laptop reports a trojan and is sending traffic to 192.0.2.39,Deterministic synthetic example; human validation required.,train
SYN-221,SYN-221,Nigerian Pidgin,Nigerian Pidgin,Department no fit find flash drive wey carry student record,Department no fit find flash drive wey carry student record,Offline submission,Lost or stolen device,Lost or stolen device,Medium,Management,Management,,None,CL-05-04,Department no fit find flash drive wey carry student record,Deterministic synthetic example; human validation required.,train
SYN-583,SYN-583,Nigerian Pidgin,Nigerian Pidgin,Researcher find input validation problem for email,Researcher find input validation problem for email,PDF,Vulnerability report,Vulnerability report,Medium,Vulnerability Management Team,Vulnerability Management Team,,None,CL-12-06,Researcher find input validation problem for email,Deterministic synthetic example; human validation required.,train
SYN-585,SYN-585,English,English,A researcher found an input validation weakness on library,A researcher found an input validation weakness on library,Offline submission,Vulnerability report,Vulnerability report,Medium,Vulnerability Management Team,Vulnerability Management Team,,None,CL-12-06,A researcher found an input validation weakness on library,Deterministic synthetic example; human validation required.,train
SYN-021,SYN-021,Nigerian Pidgin,Nigerian Pidgin,Person claim say na ICT and say dem go block my account if I no sign in,Person claim say na ICT and say dem go block my account if I no sign in,Offline submission,Phishing,Phishing,High,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-01-04,Person claim say na ICT and say dem go block my account if I no sign in,Deterministic synthetic example; human validation required.,train
SYN-160,SYN-160,English,English,Antivirus detected malware on the library after an unknown attachment opened Reported by user9@example.test on 08030000009.,Antivirus detected malware on the library after an unknown attachment opened Reported by user9@example.test on 08030000009.,Screenshot,Malware,Malware,High,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-04-01,Antivirus detected malware on the library after an unknown attachment opened Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-577,SYN-577,English,English,A researcher found an input validation weakness on student portal,A researcher found an input validation weakness on student portal,TXT,Vulnerability report,Vulnerability report,Medium,Vulnerability Management Team,Vulnerability Management Team,,None,CL-12-05,A researcher found an input validation weakness on student portal,Deterministic synthetic example; human validation required.,train
SYN-509,SYN-509,Nigerian Pidgin,Nigerian Pidgin,Staff wey wan leave copy restricted file from bursary,Staff wey wan leave copy restricted file from bursary,Email,Insider threat,Insider threat,High,Senior Security and HR Review,Senior Security and HR Review,,None,CL-11-01,Staff wey wan leave copy restricted file from bursary,Deterministic synthetic example; human validation required.,train
SYN-047,SYN-047,English,English,A scholarship message sent staff to https://verify-46.example.test/login and requested login details,A scholarship message sent staff to https://verify-46.example.test/login and requested login details,PDF,Phishing,Phishing,High,Internal ICT/Security Team,Internal ICT/Security Team,https://verify-46.example.test/login,None,CL-01-09,A scholarship message sent staff to https://verify-46.example.test/login and requested login details,Deterministic synthetic example; human validation required.,test
SYN-196,SYN-196,English,English,Antivirus detected malware on the payroll after an unknown attachment opened Reported by user45@example.test on 08030000045.,Antivirus detected malware on the payroll after an unknown attachment opened Reported by user45@example.test on 08030000045.,Image,Malware,Malware,High,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-04-09,Antivirus detected malware on the payroll after an unknown attachment opened Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,test
SYN-191,SYN-191,Nigerian Pidgin,Nigerian Pidgin,Strange program dey run by itself and browser dey redirect,Strange program dey run by itself and browser dey redirect,TXT,Malware,Malware,High,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-04-08,Strange program dey run by itself and browser dey redirect,Deterministic synthetic example; human validation required.,test
SYN-455,SYN-455,Nigerian Pidgin,Nigerian Pidgin,Plenty traffic from 192.0.2.5 make library no dey open,Plenty traffic from 192.0.2.5 make library no dey open,PDF,Denial of service,Denial of service,Critical,Network Operations and Security Team,Network Operations and Security Team,192.0.2.5,None,CL-10-00,Plenty traffic from 192.0.2.5 make library no dey open,Deterministic synthetic example; human validation required.,train
SYN-198,SYN-198,English,English,The laptop reports a trojan and is sending traffic to 192.0.2.48,The laptop reports a trojan and is sending traffic to 192.0.2.48,TXT,Malware,Malware,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.48,None,CL-04-09,The laptop reports a trojan and is sending traffic to 192.0.2.48,Deterministic synthetic example; human validation required.,test
SYN-282,SYN-282,English,English,My printer is offline and the help desk page will not load,My printer is offline and the help desk page will not load,Image,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-06-06,My printer is offline and the help desk page will not load,Deterministic synthetic example; human validation required.,train
SYN-415,SYN-415,English,English,A fake invoice changed the payment account for library,A fake invoice changed the payment account for library,Web form,Payment fraud,Payment fraud,High,Finance Fraud Response Team,Finance Fraud Response Team,,None,CL-09-02,A fake invoice changed the payment account for library,Deterministic synthetic example; human validation required.,train
SYN-392,SYN-392,English,English,Audit logs show an unapproved privileged session on student portal,Audit logs show an unapproved privileged session on student portal,Offline submission,Unauthorised access,Unauthorised access,High,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-08-08,Audit logs show an unapproved privileged session on student portal,Deterministic synthetic example; human validation required.,test
SYN-309,SYN-309,Nigerian Pidgin,Nigerian Pidgin,Student record for bursary show for public folder,Student record for bursary show for public folder,Email,Data exposure,Data exposure,High,Privacy and Data Protection Team,Privacy and Data Protection Team,,None,CL-07-01,Student record for bursary show for public folder,Deterministic synthetic example; human validation required.,train
SYN-580,SYN-580,English,English,The test page reveals software version details at https://verify-29.example.test/login,The test page reveals software version details at https://verify-29.example.test/login,Email,Vulnerability report,Vulnerability report,Medium,Vulnerability Management Team,Vulnerability Management Team,https://verify-29.example.test/login,None,CL-12-05,The test page reveals software version details at https://verify-29.example.test/login,Deterministic synthetic example; human validation required.,train
SYN-651,SYN-651,Nigerian Pidgin,Nigerian Pidgin,Something strange happen for payroll but I no get detail Reported by user0@example.test on 08030000000.,Something strange happen for payroll but I no get detail Reported by user0@example.test on 08030000000.,Web form,Ambiguous report,Ambiguous report,Medium,Triage Review Team,Triage Review Team,,Email; Nigerian telephone number,CL-14-00,Something strange happen for payroll but I no get detail Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-126,SYN-126,English,English,Every document now has a strange extension and the screen says decrypt,Every document now has a strange extension and the screen says decrypt,PDF,Ransomware,Ransomware,Critical,Internal ICT/Security Team,Internal ICT/Security Team,,None,CL-03-05,Every document now has a strange extension and the screen says decrypt,Deterministic synthetic example; human validation required.,train
SYN-256,SYN-256,English,English,A scheduled software update restarted the laptop normally,A scheduled software update restarted the laptop normally,TXT,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-06-01,A scheduled software update restarted the laptop normally,Deterministic synthetic example; human validation required.,train
SYN-004,SYN-004,English,English,I received an email asking me to verify my bursary password using https://verify-3.example.test/login Reported by user3@example.test on 08030000003.,I received an email asking me to verify my bursary password using https://verify-3.example.test/login Reported by user3@example.test on 08030000003.,Image,Phishing,Phishing,High,Internal ICT/Security Team,Internal ICT/Security Team,https://verify-3.example.test/login,Email; Nigerian telephone number,CL-01-00,I received an email asking me to verify my bursary password using https://verify-3.example.test/login Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-350,SYN-350,English,English,Confidential records were emailed to the wrong recipient from library,Confidential records were emailed to the wrong recipient from library,Web form,Data exposure,Data exposure,High,Privacy and Data Protection Team,Privacy and Data Protection Team,,None,CL-07-09,Confidential records were emailed to the wrong recipient from library,Deterministic synthetic example; human validation required.,test
SYN-404,SYN-404,English,English,The finance transfer was redirected after a supplier email change Reported by user3@example.test on 08030000003.,The finance transfer was redirected after a supplier email change Reported by user3@example.test on 08030000003.,Image,Payment fraud,Payment fraud,High,Finance Fraud Response Team,Finance Fraud Response Team,,Email; Nigerian telephone number,CL-09-00,The finance transfer was redirected after a supplier email change Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-693,SYN-693,English,English,Something unusual happened on email but I have no other details Reported by user42@example.test on 08030000042.,Something unusual happened on email but I have no other details Reported by user42@example.test on 08030000042.,Web form,Ambiguous report,Ambiguous report,Medium,Triage Review Team,Triage Review Team,,Email; Nigerian telephone number,CL-14-08,Something unusual happened on email but I have no other details Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,test
SYN-171,SYN-171,Nigerian Pidgin,Nigerian Pidgin,Laptop talk say trojan dey inside and e dey connect to 192.0.2.21,Laptop talk say trojan dey inside and e dey connect to 192.0.2.21,Offline submission,Malware,Malware,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.21,None,CL-04-04,Laptop talk say trojan dey inside and e dey connect to 192.0.2.21,Deterministic synthetic example; human validation required.,train
SYN-539,SYN-539,English,English,A departing staff member copied restricted files from bursary,A departing staff member copied restricted files from bursary,Image,Insider threat,Insider threat,High,Senior Security and HR Review,Senior Security and HR Review,,None,CL-11-07,A departing staff member copied restricted files from bursary,Deterministic synthetic example; human validation required.,train
SYN-546,SYN-546,English,English,An employee used privileged access outside approved duties on payroll Reported by user45@example.test on 08030000045.,An employee used privileged access outside approved duties on payroll Reported by user45@example.test on 08030000045.,Image,Insider threat,Insider threat,High,Senior Security and HR Review,Senior Security and HR Review,,Email; Nigerian telephone number,CL-11-09,An employee used privileged access outside approved duties on payroll Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,test
SYN-283,SYN-283,Nigerian Pidgin,Nigerian Pidgin,Normal software update restart the laptop as dem schedule am,Normal software update restart the laptop as dem schedule am,PDF,Harmless technical failure,Harmless technical failure,Informational,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-06-06,Normal software update restart the laptop as dem schedule am,Deterministic synthetic example; human validation required.,train
SYN-659,SYN-659,Nigerian Pidgin,Nigerian Pidgin,Something strange happen for bursary but I no get detail,Something strange happen for bursary but I no get detail,Email,Ambiguous report,Ambiguous report,Medium,Triage Review Team,Triage Review Team,,None,CL-14-01,Something strange happen for bursary but I no get detail,Deterministic synthetic example; human validation required.,train
SYN-632,SYN-632,English,English,I need the help desk opening time; no security incident occurred,I need the help desk opening time; no security incident occurred,Image,Benign or non-security enquiry,Benign or non-security enquiry,Low,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-13-06,I need the help desk opening time; no security incident occurred,Deterministic synthetic example; human validation required.,train
SYN-054,SYN-054,English,English,I received an OTP I did not request and my bursary shows a new login Reported by user3@example.test on 08030000003.,I received an OTP I did not request and my bursary shows a new login Reported by user3@example.test on 08030000003.,Image,Account takeover,Account takeover,High,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-02-00,I received an OTP I did not request and my bursary shows a new login Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-405,SYN-405,Nigerian Pidgin,Nigerian Pidgin,Fake invoice change account wey library suppose pay,Fake invoice change account wey library suppose pay,PDF,Payment fraud,Payment fraud,High,Finance Fraud Response Team,Finance Fraud Response Team,,None,CL-09-00,Fake invoice change account wey library suppose pay,Deterministic synthetic example; human validation required.,train
SYN-383,SYN-383,Nigerian Pidgin,Nigerian Pidgin,Person wey we no know enter email as admin from 192.0.2.33,Person wey we no know enter email as admin from 192.0.2.33,PDF,Unauthorised access,Unauthorised access,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.33,None,CL-08-06,Person wey we no know enter email as admin from 192.0.2.33,Deterministic synthetic example; human validation required.,train
SYN-541,SYN-541,Nigerian Pidgin,Nigerian Pidgin,Staff wey wan leave copy restricted file from payroll,Staff wey wan leave copy restricted file from payroll,TXT,Insider threat,Insider threat,High,Senior Security and HR Review,Senior Security and HR Review,,None,CL-11-08,Staff wey wan leave copy restricted file from payroll,Deterministic synthetic example; human validation required.,test
SYN-032,SYN-032,English,English,A scholarship message sent staff to https://verify-31.example.test/login and requested login details,A scholarship message sent staff to https://verify-31.example.test/login and requested login details,Image,Phishing,Phishing,High,Internal ICT/Security Team,Internal ICT/Security Team,https://verify-31.example.test/login,None,CL-01-06,A scholarship message sent staff to https://verify-31.example.test/login and requested login details,Deterministic synthetic example; human validation required.,train
SYN-484,SYN-484,English,English,Repeated requests overwhelmed bursary and users cannot connect Reported by user33@example.test on 08030000033.,Repeated requests overwhelmed bursary and users cannot connect Reported by user33@example.test on 08030000033.,TXT,Denial of service,Denial of service,Critical,Network Operations and Security Team,Network Operations and Security Team,,Email; Nigerian telephone number,CL-10-06,Repeated requests overwhelmed bursary and users cannot connect Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-168,SYN-168,English,English,The laptop reports a trojan and is sending traffic to 192.0.2.18,The laptop reports a trojan and is sending traffic to 192.0.2.18,Image,Malware,Malware,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.18,None,CL-04-03,The laptop reports a trojan and is sending traffic to 192.0.2.18,Deterministic synthetic example; human validation required.,train
SYN-007,SYN-007,English,English,I received an email asking me to verify my student portal password using https://verify-6.example.test/login Reported by user6@example.test on 08030000006.,I received an email asking me to verify my student portal password using https://verify-6.example.test/login Reported by user6@example.test on 08030000006.,Offline submission,Phishing,Phishing,High,Internal ICT/Security Team,Internal ICT/Security Team,https://verify-6.example.test/login,Email; Nigerian telephone number,CL-01-01,I received an email asking me to verify my student portal password using https://verify-6.example.test/login Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-116,SYN-116,English,English,Files on the payroll are encrypted and a ransom note demands payment Reported by user15@example.test on 08030000015.,Files on the payroll are encrypted and a ransom note demands payment Reported by user15@example.test on 08030000015.,Email,Ransomware,Ransomware,Critical,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-03-03,Files on the payroll are encrypted and a ransom note demands payment Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-174,SYN-174,English,English,The laptop reports a trojan and is sending traffic to 192.0.2.24,The laptop reports a trojan and is sending traffic to 192.0.2.24,Screenshot,Malware,Malware,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.24,None,CL-04-04,The laptop reports a trojan and is sending traffic to 192.0.2.24,Deterministic synthetic example; human validation required.,train
SYN-184,SYN-184,English,English,Antivirus detected malware on the bursary after an unknown attachment opened Reported by user33@example.test on 08030000033.,Antivirus detected malware on the bursary after an unknown attachment opened Reported by user33@example.test on 08030000033.,TXT,Malware,Malware,High,Internal ICT/Security Team,Internal ICT/Security Team,,Email; Nigerian telephone number,CL-04-06,Antivirus detected malware on the bursary after an unknown attachment opened Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-516,SYN-516,English,English,An employee used privileged access outside approved duties on payroll Reported by user15@example.test on 08030000015.,An employee used privileged access outside approved duties on payroll Reported by user15@example.test on 08030000015.,Email,Insider threat,Insider threat,High,Senior Security and HR Review,Senior Security and HR Review,,Email; Nigerian telephone number,CL-11-03,An employee used privileged access outside approved duties on payroll Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-340,SYN-340,English,English,Confidential records were emailed to the wrong recipient from library Reported by user39@example.test on 08030000039.,Confidential records were emailed to the wrong recipient from library Reported by user39@example.test on 08030000039.,PDF,Data exposure,Data exposure,High,Privacy and Data Protection Team,Privacy and Data Protection Team,,Email; Nigerian telephone number,CL-07-07,Confidential records were emailed to the wrong recipient from library Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-239,SYN-239,English,English,The department cannot locate a portable drive used for student records,The department cannot locate a portable drive used for student records,Image,Lost or stolen device,Lost or stolen device,Medium,Management,Management,,None,CL-05-07,The department cannot locate a portable drive used for student records,Deterministic synthetic example; human validation required.,train
SYN-059,SYN-059,Nigerian Pidgin,Nigerian Pidgin,Strange login show from 192.0.2.9 and OTP messages dey enter plenty,Strange login show from 192.0.2.9 and OTP messages dey enter plenty,Email,Account takeover,Account takeover,High,Internal ICT/Security Team,Internal ICT/Security Team,192.0.2.9,None,CL-02-01,Strange login show from 192.0.2.9 and OTP messages dey enter plenty,Deterministic synthetic example; human validation required.,train
SYN-647,SYN-647,English,English,Please explain how to update my contact details on student portal,Please explain how to update my contact details on student portal,PDF,Benign or non-security enquiry,Benign or non-security enquiry,Low,Internal ICT/Help Desk,Internal ICT/Help Desk,,None,CL-13-09,Please explain how to update my contact details on student portal,Deterministic synthetic example; human validation required.,test
SYN-223,SYN-223,English,English,My official phone was stolen and it still has access to email,My official phone was stolen and it still has access to email,Email,Lost or stolen device,Lost or stolen device,Medium,Management,Management,,None,CL-05-04,My official phone was stolen and it still has access to email,Deterministic synthetic example; human validation required.,train
SYN-622,SYN-622,English,English,I need the help desk opening time; no security incident occurred Reported by user21@example.test on 08030000021.,I need the help desk opening time; no security incident occurred Reported by user21@example.test on 08030000021.,Web form,Benign or non-security enquiry,Benign or non-security enquiry,Low,Internal ICT/Help Desk,Internal ICT/Help Desk,,Email; Nigerian telephone number,CL-13-04,I need the help desk opening time; no security incident occurred Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-493,SYN-493,English,English,Heavy traffic from 192.0.2.43 made email unavailable Reported by user42@example.test on 08030000042.,Heavy traffic from 192.0.2.43 made email unavailable Reported by user42@example.test on 08030000042.,Web form,Denial of service,Denial of service,Critical,Network Operations and Security Team,Network Operations and Security Team,192.0.2.43,Email; Nigerian telephone number,CL-10-08,Heavy traffic from 192.0.2.43 made email unavailable Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,test
SYN-492,SYN-492,English,English,Repeated requests overwhelmed student portal and users cannot connect,Repeated requests overwhelmed student portal and users cannot connect,Offline submission,Denial of service,Denial of service,Critical,Network Operations and Security Team,Network Operations and Security Team,,None,CL-10-08,Repeated requests overwhelmed student portal and users cannot connect,Deterministic synthetic example; human validation required.,test
SYN-425,SYN-425,Nigerian Pidgin,Nigerian Pidgin,Fake invoice change account wey library suppose pay Reported by user24@example.test on 08030000024.,Fake invoice change account wey library suppose pay Reported by user24@example.test on 08030000024.,Image,Payment fraud,Payment fraud,High,Finance Fraud Response Team,Finance Fraud Response Team,,Email; Nigerian telephone number,CL-09-04,Fake invoice change account wey library suppose pay Reported by [EMAIL REDACTED] on [PHONE REDACTED].,Deterministic synthetic example; human validation required.,train
SYN-527,SYN-527,English,English,A departing staff member copied restricted files from student portal,A departing staff member copied restricted files from student portal,TXT,Insider threat,Insider threat,High,Senior Security and HR Review,Senior Security and HR Review,,None,CL-11-05,A departing staff member copied restricted files from student portal,Deterministic synthetic example; human validation required.,train
